index,port_num,pred,n_ret,date
ALGYO.IS,17,0.3362973812085471,0.062049910613502623,2022-08-07
ARCLK.IS,17,0.3312006452129704,0.0338982572652935,2022-08-07
NTHOL.IS,17,0.3206024720305095,0.055505808533959256,2022-08-07
AKSA.IS,19,0.3203501812470639,0.03571432510316708,2022-08-07
BRISA.IS,19,0.3390601034491625,0.08181811320185073,2022-08-07
CCOLA.IS,19,0.3407893171666888,0.06625263290469019,2022-08-07
KOZAL.IS,19,0.3404390391661773,0.038224396207729994,2022-08-07
BERA.IS,20,0.3272408067348439,0.037288148524397435,2022-08-07
ECILC.IS,20,0.3282891162816431,0.024028279982611478,2022-08-07
KERVT.IS,20,0.3251746009980377,0.040431227872378406,2022-08-07
ODAS.IS,20,0.3353021433277219,0.07506707999371542,2022-08-07
QUAGR.IS,20,0.3413866343425609,0.043941399953217886,2022-08-07
KRDMD.IS,21,0.3504100474836777,0.03280228481416225,2022-08-07
TOASO.IS,21,0.3414574677936374,0.14092132068328778,2022-08-07
CEMAS.IS,22,0.3745762344838692,0.06611563734210191,2022-08-07
ERBOS.IS,22,0.3600712914243666,0.051709041233835684,2022-08-07
FROTO.IS,22,0.3631093465570909,0.03797886546766582,2022-08-07
BIMAS.IS,23,0.3544986939057382,0.03745933371113064,2022-08-07
CIMSA.IS,23,0.4027109521550973,0.044799219146008706,2022-08-07
DOHOL.IS,23,0.3418990925985005,0.06459948511442493,2022-08-07
GLYHO.IS,23,0.5024645017733504,0.08333340974954728,2022-08-07
MGROS.IS,23,0.3852351335866786,0.03202845574065427,2022-08-07
TUPRS.IS,23,0.3707141371149233,0.002235492239791359,2022-08-07
AEFES.IS,24,0.3488834337551871,-0.0027292160422182077,2022-08-07
AYDEM.IS,24,0.3422089705970147,0.025870669049492312,2022-08-07
EGEEN.IS,24,0.3671824172351773,0.05128562467128339,2022-08-07
AKSEN.IS,25,0.3509540468089575,0.003984028172019816,2022-08-07
ALARK.IS,25,0.4139941678514925,0.0005138864004272659,2022-08-07
DOAS.IS,25,0.4041690732632135,-0.0005907034950557444,2022-08-07
GOZDE.IS,1,0.2667506371779726,-0.07308968626015078,2022-08-14
TTRAK.IS,1,0.249541580868876,-0.006440532586130865,2022-08-14
HALKB.IS,1,0.2261602968921706,0.05725194729747973,2022-08-14
ULKER.IS,1,0.2192945263439349,0.011138632851200647,2022-08-14
GUBRF.IS,2,0.227063698327614,0.12309362795981849,2022-08-14
OTKAR.IS,2,0.2519587119233186,0.008749479406984673,2022-08-14
TURSG.IS,2,0.2009853326020963,-0.02732233602620393,2022-08-14
VAKBN.IS,2,0.2409958367462845,0.05361305853581877,2022-08-14
ISGYO.IS,3,0.1998570963852282,-0.010027871728419013,2022-08-14
GARAN.IS,3,0.2288605451280738,0.1320152840903286,2022-08-14
VERUS.IS,3,0.253637767298434,0.009077132949647515,2022-08-14
YKBNK.IS,3,0.2287060433849367,0.0381679951981404,2022-08-14
RTALB.IS,4,0.2239021972937877,-0.0169851216683915,2022-08-14
TRGYO.IS,4,0.1505755546358137,0.01589096288085412,2022-08-14
ISCTR.IS,4,0.2435118542167823,-0.07165109543308845,2022-08-14
YATAS.IS,4,0.2336621334290272,0.018761831763391523,2022-08-14
AGHOL.IS,5,0.1924951688678807,0.007509367492649632,2022-08-14
IPEKE.IS,6,0.2913574133579925,-0.04793760227146715,2022-08-14
TCELL.IS,6,0.2853327606941849,0.02064212683364941,2022-08-14
TTKOM.IS,6,0.2929735045733691,-0.02224576774170217,2022-08-14
VESTL.IS,6,0.2755057931792312,0.02286131683992565,2022-08-14
KOZAA.IS,7,0.2872309614120708,-0.11385458546629112,2022-08-14
AKBNK.IS,8,0.2938112398569559,0.06723587215960003,2022-08-14
ISMEN.IS,8,0.2806400202861517,0.09185445607631437,2022-08-14
OYAKC.IS,8,0.2759069572830384,0.030373783879576788,2022-08-14
PARSN.IS,8,0.2940744570449203,0.12017166547559688,2022-08-14
TKFEN.IS,8,0.2851482370550544,-0.01121080500161542,2022-08-14
KARSN.IS,9,0.2832749930821737,0.00694447111936336,2022-08-14
TAVHL.IS,9,0.2768298793891468,0.004979240449137778,2022-08-14
HEKTS.IS,10,0.2704420981236901,-0.038242881474401136,2022-08-14
KORDS.IS,10,0.2919624343936814,-0.058349274277620045,2022-08-14
SASA.IS,10,0.284218543576467,0.05622488513969337,2022-08-14
SELEC.IS,10,0.2723206962516189,0.033613466030655736,2022-08-14
SKBNK.IS,10,0.268226428570723,0.17647052477546588,2022-08-14
ADESE.IS,11,0.3153769628508092,-0.02352945878843815,2022-08-14
EREGL.IS,11,0.3052987094686723,0.021754908742911416,2022-08-14
KCHOL.IS,11,0.3003944370953723,0.04662950317482206,2022-08-14
PETKM.IS,11,0.3079008774619606,0.06283866805478122,2022-08-14
SARKY.IS,11,0.2941344182721562,0.20803940705939583,2022-08-14
ISFIN.IS,12,0.2969127078476922,0.2752941355985754,2022-08-14
IZMDC.IS,12,0.3182651392223651,0.15226332320757563,2022-08-14
VESBE.IS,12,0.2971105631301053,0.04277466538157659,2022-08-14
SAHOL.IS,13,0.3025914528399357,0.07343612322994186,2022-08-14
SOKM.IS,13,0.3185572263383182,0.14999999337726155,2022-08-14
TKNSA.IS,13,0.3053394263552931,0.1338862761400279,2022-08-14
EKGYO.IS,14,0.2951886948203499,0.011428560529436416,2022-08-14
ENKAI.IS,14,0.2994463342384437,0.08702622039256158,2022-08-14
MAVI.IS,15,0.318890883879046,-0.013353166031652819,2022-08-14
THYAO.IS,15,0.3121458550504259,0.07216496061652844,2022-08-14
SISE.IS,15,0.294350178254287,0.035042722572305784,2022-08-14
ASELS.IS,16,0.3274444346925108,0.04244482269388716,2022-08-14
ENJSA.IS,16,0.3251292112085571,-0.024072861959271497,2022-08-14
ISDMR.IS,16,0.3207761899864264,0.012079325953863629,2022-08-14
ALGYO.IS,17,0.3362973812085471,-0.03755864947777754,2022-08-14
ARCLK.IS,17,0.3312006452129704,0.02384498525343748,2022-08-14
INDES.IS,17,0.3215094200725,0.10663514418844522,2022-08-14
LOGO.IS,17,0.3410583721149545,0.048044181070311165,2022-08-14
NTHOL.IS,17,0.3206024720305095,0.03562341625554466,2022-08-14
AKSA.IS,19,0.3203501812470639,-0.0369458118821866,2022-08-14
CCOLA.IS,19,0.3407893171666888,0.005825203213491115,2022-08-14
KOZAL.IS,19,0.3404390391661773,-0.10035626192999048,2022-08-14
BERA.IS,20,0.3272408067348439,0.05490190774129844,2022-08-14
BRISA.IS,20,0.3390601034491625,-0.06574394235300263,2022-08-14
ECILC.IS,20,0.3282891162816431,-0.02139402835328419,2022-08-14
KERVT.IS,20,0.3251746009980377,-0.0841968440667713,2022-08-14
ODAS.IS,20,0.3353021433277219,0.007481229740367468,2022-08-14
QUAGR.IS,20,0.3413866343425609,0.047831631722126566,2022-08-14
KRDMD.IS,21,0.3504100474836777,-0.007259607446205685,2022-08-14
CEMAS.IS,22,0.3745762344838692,0.0,2022-08-14
ERBOS.IS,22,0.3600712914243666,-0.034999974568684866,2022-08-14
FROTO.IS,22,0.3631093465570909,0.07604207872195534,2022-08-14
TOASO.IS,22,0.3414574677936374,-0.009501133626584779,2022-08-14
AYDEM.IS,23,0.3422089705970147,0.08923366490549878,2022-08-14
BIMAS.IS,23,0.3544986939057382,0.13971740499986818,2022-08-14
DOHOL.IS,23,0.3418990925985005,0.12378646675924099,2022-08-14
TUPRS.IS,23,0.3707141371149233,0.09144983681604324,2022-08-14
AEFES.IS,24,0.3488834337551871,0.023535867236010644,2022-08-14
CIMSA.IS,24,0.4027109521550973,0.08329219075666372,2022-08-14
DOAS.IS,24,0.4041690732632135,0.04491729456614846,2022-08-14
EGEEN.IS,24,0.3671824172351773,0.03882245329468259,2022-08-14
GLYHO.IS,24,0.5024645017733504,0.15384614299414778,2022-08-14
MGROS.IS,24,0.3852351335866786,0.18793106079101562,2022-08-14
AKSEN.IS,25,0.3509540468089575,-0.019841282606185007,2022-08-14
ALARK.IS,25,0.4139941678514925,0.014894757357717614,2022-08-14
GOZDE.IS,1,0.2667506371779726,0.06212669831224704,2022-08-21
TTRAK.IS,1,0.249541580868876,0.06222994613264854,2022-08-21
TURSG.IS,1,0.2009853326020963,0.14232204687791317,2022-08-21
ULKER.IS,1,0.2192945263439349,-0.0354957110336499,2022-08-21
OTKAR.IS,2,0.2519587119233186,0.017347115459480422,2022-08-21
HALKB.IS,2,0.2261602968921706,0.028880839081917964,2022-08-21
VAKBN.IS,2,0.2409958367462845,0.030973421919550104,2022-08-21
VERUS.IS,2,0.253637767298434,-0.006746581241845906,2022-08-21
YKBNK.IS,2,0.2287060433849367,0.042279414826146944,2022-08-21
GUBRF.IS,3,0.227063698327614,0.028128046254111583,2022-08-21
TRGYO.IS,3,0.1505755546358137,0.007821301674897141,2022-08-21
ISCTR.IS,3,0.2435118542167823,0.17281874603669123,2022-08-21
YATAS.IS,3,0.2336621334290272,-0.008735970748925292,2022-08-21
ISGYO.IS,4,0.1998570963852282,-0.01631969094298158,2022-08-21
RTALB.IS,4,0.2239021972937877,-0.03887695480057596,2022-08-21
GARAN.IS,4,0.2288605451280738,0.150422539509518,2022-08-21
AGHOL.IS,5,0.1924951688678807,-0.13043478260869568,2022-08-21
IPEKE.IS,6,0.2913574133579925,0.00761119211635175,2022-08-21
KOZAA.IS,6,0.2872309614120708,0.006191944522728088,2022-08-21
TCELL.IS,6,0.2853327606941849,0.05112358912451187,2022-08-21
TTKOM.IS,6,0.2929735045733691,0.03791986986219564,2022-08-21
VESTL.IS,6,0.2755057931792312,0.028118265792403285,2022-08-21
AKBNK.IS,7,0.2938112398569559,0.060000038146972745,2022-08-21
KORDS.IS,8,0.2919624343936814,0.06807990336515224,2022-08-21
OYAKC.IS,8,0.2759069572830384,0.06651550603849588,2022-08-21
PARSN.IS,8,0.2940744570449203,-0.030172374812656444,2022-08-21
TKFEN.IS,8,0.2851482370550544,0.07407411412086806,2022-08-21
ISMEN.IS,9,0.2806400202861517,0.0865078703105906,2022-08-21
KARSN.IS,9,0.2832749930821737,0.13931037639749455,2022-08-21
HEKTS.IS,10,0.2704420981236901,0.054809162652454724,2022-08-21
SASA.IS,10,0.284218543576467,0.00760459196734975,2022-08-21
SELEC.IS,10,0.2723206962516189,0.0113820637283919,2022-08-21
SKBNK.IS,10,0.268226428570723,0.3461538955304768,2022-08-21
TAVHL.IS,10,0.2768298793891468,0.004128819209744616,2022-08-21
ADESE.IS,11,0.3153769628508092,0.04819279790599551,2022-08-21
EREGL.IS,11,0.3052987094686723,0.05464865122431739,2022-08-21
PETKM.IS,11,0.3079008774619606,0.1824668588467775,2022-08-21
SAHOL.IS,12,0.3025914528399357,0.03885135407252749,2022-08-21
KCHOL.IS,12,0.3003944370953723,0.12445519333172439,2022-08-21
VESBE.IS,12,0.2971105631301053,0.02217292673117255,2022-08-21
IZMDC.IS,13,0.3182651392223651,-0.057142803620318094,2022-08-21
SARKY.IS,13,0.2941344182721562,-0.004670165068617282,2022-08-21
TKNSA.IS,13,0.3053394263552931,0.08672935738492726,2022-08-21
EKGYO.IS,14,0.2951886948203499,0.03389834047197171,2022-08-21
ENKAI.IS,14,0.2994463342384437,-0.025540296766950465,2022-08-21
